50, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
35, Federal-gov,9, Never-married, Adm-clerical, White, Male, United-States, <=50K
30, Private,13, Married-AF-spouse, Exec-managerial, White, Female, United-States, >50K
36, Private,10, Never-married, Other-service, White, Male, United-States, <=50K
26, Private,9, Separated, Tech-support, White, Female, United-States, <=50K
23, Private,13, Never-married, Other-service, White, Male, United-States, <=50K
39, Private,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
40, Self-emp-not-inc,15, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
29, Private,13, Never-married, Prof-specialty, White, Male, United-States, <=50K
38, Private,13, Never-married, Other-service, White, Male, United-States, <=50K
63, Private,13, Never-married, Adm-clerical, White, Male, United-States, <=50K
58, Self-emp-not-inc,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
30, Private,9, Divorced, Exec-managerial, White, Female, United-States, <=50K
38, State-gov,9, Never-married, Other-service, Black, Female, United-States, <=50K
25, Private,3, Never-married, Adm-clerical, White, Female, Mexico, <=50K
44, State-gov,14, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
43, Private,11, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
21, Private,10, Never-married, Transport-moving, White, Male, United-States, <=50K
41, Local-gov,12, Never-married, Exec-managerial, White, Male, United-States, <=50K
38, Private,13, Married-civ-spouse, Sales, White, Male, United-States, >50K
75, ?,13, Married-civ-spouse, ?, White, Male, United-States, <=50K
29, Private,10, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
52, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
47, Private,9, Divorced, Exec-managerial, White, Female, United-States, <=50K
28, Private,11, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
24, Private,10, Married-civ-spouse, Priv-house-serv, White, Female, ?, <=50K
30, State-gov,14, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male, China, <=50K
30, Private,10, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
40, Private,12, Divorced, Exec-managerial, White, Male, United-States, >50K
27, Private,10, Never-married, Other-service, White, Female, United-States, <=50K
26, Private,9, Never-married, Protective-serv, White, Male, United-States, <=50K
32, Private,9, Never-married, Other-service, White, Male, United-States, <=50K
36, State-gov,13, Never-married, Adm-clerical, White, Female, United-States, <=50K
26, Private,8, Never-married, Transport-moving, Black, Male, United-States, <=50K
25, Private,10, Never-married, Transport-moving, Black, Male, United-States, <=50K
39, Private,10, Divorced, Tech-support, White, Female, Poland, <=50K
27, Private,11, Married-civ-spouse, Tech-support, White, Male, United-States, <=50K
24, Private,9, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
38, Self-emp-inc,13, Married-civ-spouse, Sales, White, Male, United-States, >50K
35, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
29, Private,11, Never-married, Tech-support, White, Male, United-States, <=50K
49, Private,9, Divorced, Other-service, Black, Female, United-States, <=50K
36, Private,5, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
47, Self-emp-not-inc,16, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
21, Private,10, Never-married, Other-service, White, Male, United-States, <=50K
35, Private,13, Never-married, Prof-specialty, Asian-Pac-Islander, Female, Philippines, >50K
38, Private,2, Married-civ-spouse, Handlers-cleaners, White, Male, Mexico, <=50K
66, ?,10, Married-civ-spouse, ?, White, Male, United-States, <=50K
45, Private,14, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
19, Private,10, Never-married, Other-service, White, Female, United-States, <=50K
18, Private,9, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
37, Private,15, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
49, Private,13, Never-married, Prof-specialty, White, Female, United-States, <=50K
33, Local-gov,11, Married-civ-spouse, Protective-serv, White, Male, United-States, >50K
27, Private,10, Married-civ-spouse, Sales, White, Male, United-States, >50K
34, Local-gov,10, Divorced, Adm-clerical, White, Female, United-States, <=50K
54, State-gov,14, Married-spouse-absent, Prof-specialty, Asian-Pac-Islander, Female, China, <=50K
24, Self-emp-inc,10, Never-married, Transport-moving, White, Male, United-States, <=50K
44, Self-emp-not-inc,15, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
48, Self-emp-not-inc,13, Separated, Craft-repair, White, Male, United-States, <=50K
23, Private,9, Never-married, Adm-clerical, White, Female, United-States, <=50K
29, Private,9, Never-married, Other-service, White, Male, United-States, <=50K
21, Private,12, Never-married, Other-service, White, Female, United-States, <=50K
18, Private,8, Never-married, Other-service, White, Female, United-States, <=50K
18, Private,5, Never-married, Sales, Other, Female, United-States, <=50K
29, Private,9, Divorced, Craft-repair, White, Male, United-States, <=50K
29, Private,9, Never-married, Transport-moving, White, Male, United-States, <=50K
41, Private,9, Separated, Machine-op-inspct, Black, Female, United-States, <=50K
32, Private,9, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
61, Private,6, Divorced, Other-service, Black, Female, United-States, <=50K
79, Private,9, Married-spouse-absent, Prof-specialty, White, Male, United-States, <=50K
34, Private,12, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
46, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
50, Self-emp-not-inc,11, Married-civ-spouse, Sales, White, Male, United-States, >50K
29, Private,9, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
23, Private,10, Never-married, Adm-clerical, White, Female, United-States, <=50K
64, Private,10, Never-married, Adm-clerical, White, Female, United-States, <=50K
70, Local-gov,14, Never-married, Prof-specialty, White, Female, United-States, >50K
28, Local-gov,12, Never-married, Adm-clerical, White, Female, United-States, <=50K
51, Private,11, Married-civ-spouse, Handlers-cleaners, White, Male, Greece, <=50K
20, ?,10, Never-married, ?, White, Female, United-States, <=50K
34, State-gov,13, Divorced, Prof-specialty, White, Male, United-States, <=50K
29, Private,9, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
49, Private,13, Married-spouse-absent, Other-service, Asian-Pac-Islander, Male, Philippines, <=50K
77, Self-emp-inc,10, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
32, Private,9, Never-married, Other-service, White, Female, United-States, <=50K
27, Private,13, Married-civ-spouse, Tech-support, White, Female, United-States, >50K
22, Private,10, Never-married, Sales, White, Female, United-States, <=50K
35, Local-gov,9, Married-civ-spouse, Craft-repair, White, Male, Cuba, >50K
42, Local-gov,13, Married-civ-spouse, Protective-serv, White, Male, United-States, >50K
35, State-gov,9, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
62, ?,9, Married-civ-spouse, ?, White, Male, United-States, <=50K
33, Private,9, Married-civ-spouse, Protective-serv, White, Male, United-States, <=50K
45, Private,10, Widowed, Exec-managerial, White, Female, United-States, <=50K
19, Private,10, Married-spouse-absent, Sales, White, Female, United-States, <=50K
38, Private,9, Divorced, Craft-repair, White, Male, United-States, <=50K
26, Private,9, Married-civ-spouse, Machine-op-inspct, Black, Male, United-States, <=50K
29, Private,13, Never-married, Exec-managerial, White, Female, United-States, <=50K
33, Private,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
35, Self-emp-not-inc,9, Divorced, Farming-fishing, White, Male, Puerto-Rico, <=50K
42, Private,10, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
20, Private,11, Never-married, Other-service, White, Female, United-States, <=50K
43, Federal-gov,14, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
69, Private,7, Married-civ-spouse, Prof-specialty, Black, Male, United-States, <=50K
39, Private,9, Never-married, Transport-moving, White, Male, United-States, <=50K
37, Private,9, Married-civ-spouse, Machine-op-inspct, White, Male, Portugal, <=50K
28, Private,10, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
26, Federal-gov,13, Never-married, Tech-support, White, Male, United-States, <=50K
32, Private,10, Divorced, Sales, White, Male, United-States, <=50K
43, Federal-gov,13, Divorced, Exec-managerial, White, Male, United-States, >50K
49, Private,9, Married-civ-spouse, Exec-managerial, White, Male, Hungary, <=50K
28, Private,4, Separated, Other-service, White, Male, Mexico, <=50K
35, Private,9, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
19, ?,10, Never-married, ?, White, Female, United-States, <=50K
35, Local-gov,9, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
57, Private,9, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
45, Private,5, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
23, Private,9, Never-married, Sales, White, Male, United-States, <=50K
45, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
42, Private,9, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
35, Private,13, Married-civ-spouse, Other-service, Asian-Pac-Islander, Male, Vietnam, <=50K
45, Private,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
28, Federal-gov,13, Never-married, Exec-managerial, White, Male, United-States, <=50K
64, Self-emp-inc,11, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
44, Local-gov,15, Separated, Prof-specialty, White, Female, United-States, <=50K
59, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, White, Male, United-States, >50K
41, Private,9, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
21, Private,10, Never-married, Sales, Black, Male, United-States, <=50K
29, Self-emp-not-inc,11, Never-married, Adm-clerical, White, Female, United-States, <=50K
51, Self-emp-not-inc,9, Never-married, Farming-fishing, White, Male, United-States, >50K
22, Private,9, Never-married, Adm-clerical, White, Male, United-States, <=50K
49, Private,9, Divorced, Other-service, White, Female, United-States, <=50K
53, Private,12, Married-civ-spouse, Sales, White, Male, United-States, >50K
38, Private,10, Divorced, Adm-clerical, White, Female, United-States, <=50K
23, Private,10, Separated, Craft-repair, White, Male, United-States, <=50K
20, Private,9, Never-married, Other-service, White, Female, Mexico, <=50K
40, Private,13, Divorced, Craft-repair, White, Female, United-States, <=50K
25, Private,13, Never-married, Prof-specialty, White, Female, United-States, <=50K
27, Private,10, Divorced, Tech-support, White, Female, United-States, <=50K
20, Private,9, Never-married, Other-service, White, Male, United-States, <=50K
37, Private,9, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
40, Local-gov,9, Never-married, Other-service, White, Male, United-States, <=50K
28, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
38, Self-emp-not-inc,9, Separated, Other-service, White, Female, United-States, <=50K
42, Private,13, Divorced, Exec-managerial, White, Female, United-States, <=50K
32, Federal-gov,12, Divorced, Protective-serv, White, Male, United-States, <=50K
20, Private,9, Married-civ-spouse, Sales, White, Male, United-States, <=50K
62, State-gov,13, Married-civ-spouse, Adm-clerical, White, Male, United-States, <=50K
31, Private,10, Never-married, Adm-clerical, White, Male, United-States, <=50K
31, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
24, Private,9, Never-married, Adm-clerical, White, Male, United-States, <=50K
62, Local-gov,4, Widowed, Other-service, Black, Female, United-States, <=50K
43, Local-gov,10, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
21, Private,10, Never-married, Transport-moving, White, Male, United-States, <=50K
30, Self-emp-inc,9, Divorced, Exec-managerial, White, Male, United-States, <=50K
22, ?,9, Never-married, ?, Black, Female, United-States, <=50K
18, Private,6, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
59, Local-gov,14, Divorced, Prof-specialty, White, Female, United-States, <=50K
24, Self-emp-not-inc,4, Married-civ-spouse, Transport-moving, White, Male, United-States, >50K
49, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
19, State-gov,7, Never-married, Other-service, White, Male, United-States, <=50K
48, Private,9, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, >50K
32, Private,15, Married-civ-spouse, Sales, White, Male, United-States, >50K
33, Private,6, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
23, Private,13, Never-married, Sales, Black, Male, United-States, <=50K
33, Federal-gov,15, Never-married, Prof-specialty, White, Female, United-States, >50K
50, Federal-gov,10, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
30, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
32, Private,12, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
39, Private,10, Married-civ-spouse, Sales, White, Male, United-States, <=50K
21, Private,10, Never-married, Sales, White, Female, United-States, <=50K
23, Private,13, Never-married, Prof-specialty, White, Female, United-States, <=50K
32, Private,13, Never-married, Exec-managerial, White, Female, United-States, <=50K
57, Private,9, Married-civ-spouse, Handlers-cleaners, White, Male, United-States, <=50K
22, State-gov,10, Never-married, Prof-specialty, White, Male, United-States, <=50K
70, Private,9, Widowed, Adm-clerical, White, Female, United-States, <=50K
34, Private,10, Married-civ-spouse, Tech-support, White, Male, United-States, >50K
53, Private,14, Divorced, Sales, White, Female, United-States, <=50K
21, Private,10, Never-married, Sales, White, Male, United-States, <=50K
37, Private,9, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
60, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
23, Private,7, Never-married, Craft-repair, Asian-Pac-Islander, Male, Vietnam, >50K
32, Private,6, Married-civ-spouse, Transport-moving, White, Male, United-States, >50K
57, Private,9, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
65, ?,9, Married-civ-spouse, ?, White, Male, United-States, <=50K
25, Private,10, Never-married, Adm-clerical, White, Male, United-States, <=50K
30, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
31, Private,9, Divorced, Adm-clerical, White, Female, Germany, <=50K
19, Private,10, Never-married, Other-service, White, Male, United-States, <=50K
23, State-gov,13, Married-civ-spouse, Tech-support, White, Male, United-States, <=50K
44, Private,9, Married-civ-spouse, Sales, White, Male, United-States, <=50K
43, ?,10, Married-civ-spouse, ?, White, Male, United-States, >50K
42, Private,10, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
34, Self-emp-not-inc,7, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
32, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
25, Private,11, Never-married, Tech-support, Black, Female, United-States, <=50K
21, Private,10, Never-married, Exec-managerial, White, Female, United-States, <=50K
31, Private,9, Married-spouse-absent, Priv-house-serv, Black, Female, Jamaica, <=50K
36, Local-gov,11, Never-married, Prof-specialty, White, Female, United-States, <=50K
49, Self-emp-not-inc,10, Married-civ-spouse, Craft-repair, White, Male, Poland, <=50K
44, Private,13, Divorced, Adm-clerical, White, Female, United-States, <=50K
42, Private,11, Married-civ-spouse, Sales, White, Male, United-States, >50K
30, Private,9, Never-married, Protective-serv, White, Male, United-States, <=50K
33, Private,6, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
36, Self-emp-not-inc,13, Divorced, Other-service, Black, Male, United-States, >50K
17, Private,6, Never-married, Other-service, White, Male, United-States, <=50K
20, Private,10, Never-married, Sales, White, Male, United-States, <=50K
32, Private,9, Never-married, Craft-repair, White, Male, United-States, <=50K
33, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
37, Private,10, Divorced, Exec-managerial, White, Female, United-States, <=50K
60, Private,6, Divorced, Farming-fishing, White, Male, United-States, <=50K
35, State-gov,10, Divorced, Adm-clerical, White, Female, United-States, <=50K
43, Federal-gov,13, Divorced, Adm-clerical, White, Female, United-States, <=50K
46, Private,10, Married-civ-spouse, Tech-support, White, Male, United-States, >50K
29, Self-emp-not-inc,9, Married-civ-spouse, Transport-moving, White, Male, United-States, >50K
36, Private,13, Married-civ-spouse, Sales, White, Male, United-States, >50K
27, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
50, Private,10, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
22, Private,10, Married-civ-spouse, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
33, State-gov,14, Never-married, Prof-specialty, White, Male, United-States, <=50K
61, Private,6, Divorced, Sales, White, Female, United-States, <=50K
28, ?,11, Married-civ-spouse, ?, White, Female, United-States, <=50K
41, Self-emp-not-inc,11, Married-civ-spouse, Farming-fishing, White, Male, United-States, >50K
22, Private,10, Never-married, Transport-moving, White, Male, United-States, <=50K
27, Private,13, Never-married, Prof-specialty, White, Female, United-States, <=50K
25, Private,9, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
32, Private,9, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
28, Private,14, Never-married, Prof-specialty, White, Male, United-States, <=50K
25, Private,13, Never-married, Craft-repair, White, Male, United-States, <=50K
28, Private,10, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
37, Local-gov,13, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
58, Private,9, Widowed, Adm-clerical, White, Female, United-States, <=50K
39, Private,9, Married-civ-spouse, Handlers-cleaners, White, Male, United-States, <=50K
33, Private,10, Divorced, Other-service, White, Female, United-States, <=50K
59, Private,6, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
58, Private,13, Divorced, Craft-repair, White, Female, United-States, <=50K
38, Private,11, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male, Philippines, >50K
34, Private,10, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
31, Private,10, Divorced, Craft-repair, Black, Male, United-States, <=50K
48, Local-gov,9, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
65, ?,9, Married-civ-spouse, ?, White, Male, United-States, <=50K
45, Private,9, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
80, ?,15, Married-civ-spouse, ?, White, Male, United-States, >50K
23, Private,9, Never-married, Other-service, White, Female, United-States, <=50K
33, Private,14, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
38, Self-emp-not-inc,10, Divorced, Farming-fishing, White, Male, United-States, <=50K
44, Self-emp-not-inc,14, Married-civ-spouse, Farming-fishing, White, Male, United-States, >50K
48, Local-gov,14, Divorced, Exec-managerial, Black, Female, United-States, >50K
40, State-gov,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
19, Local-gov,9, Never-married, Craft-repair, Black, Female, United-States, <=50K
45, Private,13, Divorced, Exec-managerial, White, Female, United-States, <=50K
34, Private,10, Never-married, Prof-specialty, White, Female, United-States, <=50K
70, Private,10, Divorced, Other-service, White, Male, United-States, <=50K
32, Local-gov,14, Never-married, Prof-specialty, White, Male, United-States, <=50K
33, Private,11, Divorced, Other-service, White, Female, United-States, <=50K
24, Private,13, Never-married, Exec-managerial, White, Female, United-States, <=50K
30, Local-gov,13, Never-married, Prof-specialty, White, Female, United-States, <=50K
22, Private,10, Never-married, Sales, Black, Male, United-States, <=50K
52, Self-emp-inc,15, Married-civ-spouse, Prof-specialty, Other, Male, United-States, >50K
67, Self-emp-not-inc,6, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
40, Private,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
55, Private,11, Married-civ-spouse, Prof-specialty, White, Female, United-States, <=50K
29, Private,9, Divorced, Exec-managerial, White, Female, United-States, <=50K
62, Private,9, Married-civ-spouse, Sales, White, Male, United-States, <=50K
22, Private,9, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
64, State-gov,5, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
29, Self-emp-not-inc,13, Never-married, Exec-managerial, White, Male, United-States, <=50K
28, Private,10, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
25, Private,9, Never-married, Exec-managerial, White, Male, United-States, <=50K
47, State-gov,16, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
26, Private,13, Married-civ-spouse, Transport-moving, White, Male, United-States, >50K
18, Private,8, Never-married, Other-service, White, Male, United-States, <=50K
52, Self-emp-inc,6, Married-civ-spouse, Sales, White, Male, United-States, <=50K
48, Local-gov,13, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
36, Private,9, Married-civ-spouse, Machine-op-inspct, Black, Male, Haiti, <=50K
23, Private,11, Divorced, Adm-clerical, White, Female, United-States, <=50K
41, Private,9, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
56, State-gov,9, Married-civ-spouse, Transport-moving, White, Male, United-States, >50K
53, Private,9, Divorced, Prof-specialty, White, Male, United-States, <=50K
26, Private,10, Divorced, Exec-managerial, White, Female, United-States, <=50K
22, Private,10, Never-married, Other-service, White, Male, United-States, <=50K
25, Private,14, Never-married, Prof-specialty, White, Female, United-States, <=50K
31, Private,10, Married-civ-spouse, Other-service, Other, Male, Puerto-Rico, <=50K
36, Private,12, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
46, Private,10, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
46, State-gov,12, Divorced, Adm-clerical, White, Male, United-States, >50K
32, Private,10, Married-civ-spouse, Other-service, White, Female, Puerto-Rico, <=50K
43, Self-emp-not-inc,9, Never-married, Farming-fishing, White, Male, United-States, <=50K
30, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
41, Self-emp-inc,13, Married-civ-spouse, Sales, White, Male, United-States, >50K
50, Private,14, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
37, State-gov,14, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
22, Local-gov,9, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
51, Federal-gov,9, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
47, Private,10, Married-civ-spouse, Exec-managerial, Black, Female, United-States, >50K
40, Private,9, Married-civ-spouse, Adm-clerical, White, Male, United-States, <=50K
46, Private,10, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
23, ?,10, Separated, ?, White, Female, United-States, <=50K
30, Private,10, Never-married, Tech-support, White, Female, United-States, <=50K
27, Self-emp-not-inc,9, Married-civ-spouse, Sales, White, Male, United-States, >50K
31, Local-gov,10, Never-married, Adm-clerical, White, Female, United-States, <=50K
31, Private,2, Married-civ-spouse, Handlers-cleaners, White, Male, Mexico, <=50K
30, Private,9, Divorced, Craft-repair, White, Male, United-States, <=50K
50, Local-gov,13, Separated, Prof-specialty, White, Male, United-States, >50K
27, Private,13, Never-married, Prof-specialty, White, Female, United-States, <=50K
22, ?,10, Never-married, ?, White, Female, United-States, <=50K
29, Private,9, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, >50K
28, Private,9, Divorced, Transport-moving, White, Male, United-States, <=50K
54, Private,13, Divorced, Exec-managerial, Black, Female, United-States, >50K
47, State-gov,11, Married-civ-spouse, Tech-support, White, Male, United-States, >50K
34, Private,9, Married-spouse-absent, Machine-op-inspct, White, Female, United-States, <=50K
26, Private,10, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
53, ?,4, Married-civ-spouse, ?, White, Male, United-States, <=50K
23, State-gov,10, Never-married, Protective-serv, White, Male, United-States, <=50K
42, Local-gov,14, Divorced, Prof-specialty, White, Male, United-States, <=50K
36, Self-emp-not-inc,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
52, Federal-gov,13, Married-civ-spouse, Protective-serv, White, Male, United-States, >50K
22, ?,10, Never-married, ?, White, Female, United-States, <=50K
27, Local-gov,14, Never-married, Prof-specialty, White, Female, United-States, <=50K
42, Private,9, Widowed, Other-service, White, Female, United-States, <=50K
39, Private,9, Divorced, Other-service, Black, Female, United-States, <=50K
49, State-gov,9, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
36, Private,9, Married-civ-spouse, Sales, White, Male, United-States, >50K
20, Private,1, Never-married, Other-service, White, Male, United-States, <=50K
55, Self-emp-inc,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
47, Private,5, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
33, Private,14, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
36, Private,10, Married-civ-spouse, Sales, White, Male, United-States, <=50K
39, Private,16, Divorced, Prof-specialty, White, Female, United-States, <=50K
55, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
21, ?,12, Never-married, ?, White, Male, United-States, <=50K
48, Private,12, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
30, Private,11, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
24, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
57, Self-emp-not-inc,9, Widowed, Craft-repair, White, Female, United-States, <=50K
20, Private,10, Never-married, Farming-fishing, White, Male, United-States, <=50K
18, ?,10, Never-married, ?, White, Female, United-States, <=50K
56, Private,9, Divorced, Prof-specialty, White, Female, United-States, <=50K
36, Private,9, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
44, Private,6, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, >50K
57, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
57, Private,9, Married-civ-spouse, Craft-repair, Black, Male, United-States, <=50K
33, Private,9, Married-civ-spouse, Tech-support, White, Male, United-States, <=50K
61, ?,4, Married-civ-spouse, ?, White, Male, United-States, >50K
39, Private,13, Married-civ-spouse, Transport-moving, White, Male, United-States, >50K
28, Private,9, Never-married, Craft-repair, White, Male, United-States, <=50K
31, Private,10, Never-married, Other-service, White, Male, United-States, <=50K
60, Private,12, Divorced, Other-service, White, Female, United-States, <=50K
36, Local-gov,11, Never-married, Protective-serv, White, Male, United-States, >50K
58, Private,9, Widowed, Sales, White, Female, United-States, >50K
50, Private,10, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
23, Local-gov,13, Never-married, Exec-managerial, White, Female, United-States, <=50K
30, Private,9, Never-married, Other-service, White, Male, United-States, <=50K
20, ?,7, Never-married, ?, White, Male, United-States, <=50K
90, Private,15, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
49, Local-gov,13, Never-married, Prof-specialty, White, Female, United-States, <=50K
47, Local-gov,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
34, Private,16, Never-married, Prof-specialty, White, Male, Taiwan, >50K
37, Federal-gov,9, Divorced, Tech-support, White, Female, United-States, <=50K
25, Private,6, Married-civ-spouse, Protective-serv, Black, Female, United-States, <=50K
37, Private,12, Never-married, Adm-clerical, White, Female, United-States, <=50K
47, Private,9, Married-civ-spouse, Adm-clerical, White, Male, Mexico, <=50K
34, Private,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
34, Private,10, Never-married, Other-service, White, Male, United-States, <=50K
35, Private,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
39, Private,10, Separated, Machine-op-inspct, White, Male, United-States, <=50K
32, State-gov,4, Married-civ-spouse, Handlers-cleaners, White, Male, United-States, <=50K
24, Private,9, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
28, Private,15, Never-married, Prof-specialty, White, Male, United-States, <=50K
41, Self-emp-not-inc,4, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
69, ?,9, Widowed, ?, White, Female, United-States, <=50K
32, Private,9, Married-civ-spouse, Protective-serv, White, Male, United-States, <=50K
58, Private,9, Divorced, Sales, White, Female, United-States, >50K
47, Self-emp-not-inc,9, Married-civ-spouse, Sales, White, Male, United-States, >50K
41, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
35, Self-emp-inc,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
24, Private,10, Never-married, Other-service, White, Male, Canada, <=50K
46, Self-emp-not-inc,9, Married-civ-spouse, Sales, Black, Male, United-States, >50K
69, Self-emp-inc,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
22, Private,13, Never-married, Exec-managerial, White, Female, United-States, <=50K
